               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,           0.0081305,           0.0028987,          0.00016845,             0.59998,             0.63334,             0.61831,             0.46149,            0.023018,           0.0071822,             0.06737,           0.0024265,           0.0024265,           0.0024265
                 155,           0.0082074,           0.0030316,          0.00038417,             0.55501,             0.70637,             0.61242,             0.45886,            0.023151,           0.0072918,            0.069568,            0.002377,            0.002377,            0.002377
                 156,           0.0080819,           0.0030019,           0.0002134,             0.54504,             0.72648,              0.6204,             0.46576,            0.022826,           0.0072387,            0.071344,           0.0023275,           0.0023275,           0.0023275
                 157,           0.0079977,           0.0029427,          0.00028201,             0.56007,             0.71548,             0.63475,             0.48153,            0.022538,           0.0071075,            0.068525,            0.002278,            0.002278,            0.002278
                 158,           0.0079723,           0.0027935,          0.00036414,             0.60412,             0.64028,             0.61279,             0.46112,            0.022996,           0.0071241,             0.06824,           0.0022285,           0.0022285,           0.0022285
                 159,            0.008299,           0.0030242,          0.00034523,             0.59757,             0.66022,             0.62244,             0.46853,            0.022983,           0.0070873,            0.068118,            0.002179,            0.002179,            0.002179
                 160,            0.007951,           0.0027879,          0.00031973,             0.58288,             0.70649,             0.62371,             0.47196,            0.022898,           0.0074265,            0.071406,           0.0021295,           0.0021295,           0.0021295
                 161,           0.0078561,           0.0027845,          0.00027703,              0.5706,             0.69824,             0.61067,             0.46344,            0.023099,           0.0077282,            0.071006,             0.00208,             0.00208,             0.00208
                 162,            0.008049,           0.0029306,          0.00024695,             0.56729,             0.69275,             0.61777,             0.46297,            0.023002,           0.0072207,            0.069154,           0.0020305,           0.0020305,           0.0020305
                 163,           0.0078137,           0.0028721,          0.00028214,             0.62713,             0.62901,              0.6314,             0.47289,            0.023106,           0.0071723,            0.069266,            0.001981,            0.001981,            0.001981
                 164,           0.0075973,           0.0028567,          0.00015817,             0.61675,             0.64353,             0.63233,             0.47576,            0.023051,            0.007399,            0.069241,           0.0019315,           0.0019315,           0.0019315
                 165,           0.0073396,           0.0027977,          0.00016965,              0.5593,             0.71417,             0.62056,             0.46528,            0.023636,           0.0076338,             0.07119,            0.001882,            0.001882,            0.001882
                 166,           0.0073567,           0.0027412,          0.00039609,             0.56419,             0.72988,             0.61985,             0.46775,            0.023387,           0.0075438,            0.074878,           0.0018325,           0.0018325,           0.0018325
                 167,              0.0077,           0.0028865,             0.00037,             0.57104,             0.73068,             0.61885,             0.46527,            0.023184,            0.007419,            0.077063,            0.001783,            0.001783,            0.001783
                 168,           0.0074988,           0.0025847,          0.00018913,             0.56483,             0.71639,              0.6311,             0.47384,            0.022767,           0.0074639,            0.075637,           0.0017335,           0.0017335,           0.0017335
                 169,           0.0074631,            0.002753,          0.00019526,             0.55038,              0.7028,             0.60434,             0.45445,            0.022577,           0.0076053,            0.076205,            0.001684,            0.001684,            0.001684
                 170,           0.0074436,           0.0026562,          0.00027733,             0.55809,             0.68626,             0.61164,             0.46249,            0.022505,            0.007381,            0.078054,           0.0016345,           0.0016345,           0.0016345
                 171,           0.0076066,           0.0028538,          0.00031155,             0.56384,             0.70999,             0.61502,             0.46428,            0.022656,           0.0073353,            0.081021,            0.001585,            0.001585,            0.001585
                 172,           0.0074367,           0.0027925,          0.00027747,             0.55295,             0.68451,             0.60818,             0.46434,            0.022601,           0.0075598,            0.077046,           0.0015355,           0.0015355,           0.0015355
                 173,           0.0073732,           0.0028313,          0.00035917,             0.55589,             0.70249,             0.61783,             0.46971,            0.022466,            0.007634,            0.074411,            0.001486,            0.001486,            0.001486
                 174,           0.0072063,           0.0027265,          0.00013249,             0.56127,             0.67669,             0.60804,             0.45985,            0.022628,           0.0077288,            0.075629,           0.0014365,           0.0014365,           0.0014365
                 175,            0.007343,           0.0027337,          0.00017934,              0.5833,             0.69326,             0.61631,             0.46421,            0.022784,           0.0074955,            0.075879,            0.001387,            0.001387,            0.001387
                 176,           0.0072715,            0.002732,          0.00023338,             0.59353,             0.67402,             0.61517,             0.46892,            0.022567,           0.0074701,            0.077084,           0.0013375,           0.0013375,           0.0013375
                 177,           0.0073406,           0.0027561,          0.00029499,               0.562,             0.70215,             0.62326,             0.47189,            0.022578,           0.0074748,            0.074867,            0.001288,            0.001288,            0.001288
                 178,           0.0071039,           0.0027354,          0.00014878,             0.56895,             0.72165,             0.61466,             0.46313,            0.022814,           0.0074652,            0.077049,           0.0012385,           0.0012385,           0.0012385
                 179,           0.0069652,            0.002684,            0.000183,             0.57252,             0.71166,             0.61979,             0.47097,            0.022826,           0.0075966,            0.077005,            0.001189,            0.001189,            0.001189
                 180,           0.0073473,           0.0025214,          0.00026121,             0.57222,             0.70238,              0.6188,              0.4707,            0.022948,           0.0078153,            0.074701,           0.0011395,           0.0011395,           0.0011395
                 181,           0.0073011,            0.002817,          0.00017283,             0.62658,             0.64778,             0.62774,              0.4757,            0.022844,           0.0075368,            0.073463,             0.00109,             0.00109,             0.00109
                 182,           0.0068871,           0.0025649,          0.00025288,              0.6125,             0.66433,             0.62598,             0.47609,            0.022818,           0.0074626,            0.073719,           0.0010405,           0.0010405,           0.0010405
                 183,           0.0069037,           0.0025928,          0.00027037,             0.57374,             0.70834,             0.62993,             0.48068,            0.022866,           0.0074673,            0.072961,            0.000991,            0.000991,            0.000991
                 184,           0.0067792,           0.0024939,          0.00030375,             0.56798,             0.70973,             0.63316,             0.47904,            0.022722,           0.0075007,            0.072588,           0.0009415,           0.0009415,           0.0009415
