               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014054,           0.0043956,          0.00079913,             0.53123,             0.71037,             0.56623,             0.42082,            0.024008,           0.0068248,            0.066698,            0.008317,            0.008317,            0.008317
                  36,            0.013758,           0.0040789,          0.00078189,              0.5489,             0.67977,             0.60429,             0.43885,            0.024264,           0.0066789,             0.06442,           0.0082675,           0.0082675,           0.0082675
                  37,            0.013634,           0.0043515,           0.0011182,             0.54729,             0.66529,             0.59839,             0.44162,            0.024389,           0.0069357,            0.071933,            0.008218,            0.008218,            0.008218
                  38,            0.013461,           0.0041986,          0.00077932,             0.59935,             0.65278,             0.65538,             0.48549,            0.024857,           0.0067171,            0.055186,           0.0081685,           0.0081685,           0.0081685
                  39,            0.013621,           0.0040253,            0.001038,               0.544,             0.66054,             0.62172,             0.47027,            0.024056,           0.0073262,             0.06473,            0.008119,            0.008119,            0.008119
                  40,             0.01316,           0.0040496,          0.00090607,             0.52249,             0.70406,             0.60222,             0.44138,            0.024583,           0.0074511,            0.069694,           0.0080695,           0.0080695,           0.0080695
                  41,            0.013495,           0.0041388,           0.0013103,             0.49703,             0.62279,             0.52794,             0.39629,            0.024865,           0.0091713,            0.058446,             0.00802,             0.00802,             0.00802
                  42,            0.013104,           0.0041827,           0.0010942,             0.49403,             0.66555,             0.57709,              0.4173,            0.024045,           0.0065851,            0.077344,           0.0079705,           0.0079705,           0.0079705
                  43,            0.013086,            0.004131,           0.0011316,              0.5164,             0.67652,             0.58765,             0.43726,            0.023772,           0.0069398,            0.065933,            0.007921,            0.007921,            0.007921
                  44,            0.012879,           0.0040876,          0.00079553,             0.52602,             0.65576,             0.55618,             0.40904,            0.024681,           0.0073188,            0.079615,           0.0078715,           0.0078715,           0.0078715
                  45,            0.013183,           0.0042512,          0.00082279,             0.52635,             0.65879,              0.5575,             0.40687,            0.024838,           0.0074663,            0.074497,            0.007822,            0.007822,            0.007822
                  46,            0.013422,           0.0041109,           0.0014183,             0.51492,             0.66669,             0.56201,             0.42062,            0.024649,           0.0077999,            0.071355,           0.0077725,           0.0077725,           0.0077725
                  47,            0.013226,            0.004185,          0.00064904,             0.54218,             0.67569,              0.5838,             0.43163,            0.025327,           0.0082778,            0.071019,            0.007723,            0.007723,            0.007723
                  48,              0.0127,           0.0040318,          0.00083037,              0.5563,             0.69248,             0.61713,             0.45813,            0.024161,           0.0071206,            0.063321,           0.0076735,           0.0076735,           0.0076735
                  49,            0.012565,           0.0038116,           0.0010172,             0.53416,             0.68462,             0.59325,             0.43918,             0.02359,           0.0072826,            0.073976,            0.007624,            0.007624,            0.007624
                  50,            0.012412,            0.003982,           0.0008956,             0.53843,             0.74863,             0.64362,             0.47216,            0.024065,           0.0067654,            0.054639,           0.0075745,           0.0075745,           0.0075745
                  51,            0.013335,           0.0040462,           0.0011878,             0.51901,             0.67805,             0.58459,             0.43545,            0.024141,           0.0067342,            0.070239,            0.007525,            0.007525,            0.007525
                  52,             0.01239,            0.003861,           0.0010033,             0.52712,             0.69525,             0.56395,             0.42535,            0.023795,           0.0068432,            0.066803,           0.0074755,           0.0074755,           0.0074755
                  53,            0.012695,           0.0039529,           0.0011947,              0.5232,             0.70877,             0.57366,             0.41968,            0.024198,            0.007074,             0.07081,            0.007426,            0.007426,            0.007426
                  54,            0.012892,           0.0040556,           0.0010546,             0.48337,             0.55762,             0.42659,             0.30575,            0.026529,              0.0101,            0.071012,           0.0073765,           0.0073765,           0.0073765
                  55,            0.012499,           0.0040435,           0.0011631,             0.50008,             0.67977,             0.52731,             0.39331,            0.025431,           0.0080122,            0.067858,            0.007327,            0.007327,            0.007327
                  56,            0.012565,           0.0039705,          0.00090163,             0.52085,             0.68626,             0.59533,             0.44925,            0.023967,           0.0073107,            0.064086,           0.0072775,           0.0072775,           0.0072775
                  57,            0.012168,           0.0039127,           0.0011149,             0.52372,              0.6692,             0.56422,             0.41705,            0.024896,           0.0075068,            0.072022,            0.007228,            0.007228,            0.007228
                  58,            0.012519,           0.0040251,           0.0014225,             0.53002,             0.69786,             0.59453,             0.43554,            0.024483,           0.0068869,            0.065543,           0.0071785,           0.0071785,           0.0071785
                  59,             0.01223,           0.0039021,          0.00089813,             0.51002,             0.64029,             0.51054,              0.3827,             0.02523,            0.009422,            0.067957,            0.007129,            0.007129,            0.007129
                  60,            0.012453,           0.0038644,          0.00077018,             0.51441,             0.64942,             0.54152,             0.40809,            0.023929,           0.0071696,            0.076039,           0.0070795,           0.0070795,           0.0070795
                  61,            0.012121,              0.0039,          0.00091074,              0.4957,             0.63948,             0.53411,             0.39753,             0.02492,           0.0080144,            0.076917,             0.00703,             0.00703,             0.00703
